City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Kruisfontein,ZA,2021-04-17 15:16:03,-34.0033,24.7314,75.99,47,36,5.01
150,Harper,LR,2021-04-17 15:16:03,4.375,-7.7169,83.26,72,99,7.23
151,Bilibino,RU,2021-04-17 15:16:04,68.0546,166.4372,-1.3,98,100,3.27
152,Wuwei,CN,2021-04-17 15:16:04,37.9281,102.6414,53.29,23,10,3.4
153,Adrar,MR,2021-04-17 15:16:04,20.5022,-10.0711,90.34,13,0,10.94
154,Sitka,US,2021-04-17 15:16:05,57.0531,-135.33,37.4,100,40,4.34
155,Tomatlan,MX,2021-04-17 15:16:05,19.9333,-105.25,77.99,35,35,1.66
156,Iracoubo,GF,2021-04-17 15:16:05,5.4802,-53.2011,80.76,80,89,13.94
157,Treinta Y Tres,UY,2021-04-17 15:15:35,-33.2333,-54.3833,72.95,67,42,5.32
158,Balikpapan,ID,2021-04-17 15:16:06,-1.2675,116.8289,78.21,79,88,3.6
159,Mentougou,CN,2021-04-17 15:16:06,39.9392,116.0917,55.99,32,0,3.22
160,Saldanha,ZA,2021-04-17 15:16:06,-33.0117,17.9442,89.6,17,0,6.91
161,Salekhard,RU,2021-04-17 15:16:07,66.53,66.6019,-2.79,95,57,5.55
162,Mega,ET,2021-04-17 15:16:07,4.05,38.3,68.85,61,90,16.46
163,Saint-Joseph,RE,2021-04-17 15:16:07,-21.3667,55.6167,77.0,73,90,5.75
164,Ribeira Grande,PT,2021-04-17 15:16:08,38.5167,-28.7,64.4,94,40,17.27
165,Suntar,RU,2021-04-17 15:16:08,62.1444,117.6319,14.43,72,65,12.55
166,Erzin,TR,2021-04-17 15:16:08,36.9559,36.2,73.99,62,80,4.07
167,Diego De Almagro,CL,2021-04-17 15:16:08,-26.3667,-70.05,74.1,30,0,4.07
168,Mason City,US,2021-04-17 15:16:09,43.1536,-93.201,52.0,25,1,9.22
169,Margate,GB,2021-04-17 15:16:09,51.3813,1.3862,50.0,52,12,8.01
170,Broome,US,2021-04-17 15:16:09,42.2506,-75.833,44.01,81,90,10.36
171,Mackay,AU,2021-04-17 15:16:10,-21.15,149.2,77.0,83,75,13.8
172,Presidencia Roque Saenz Pena,AR,2021-04-17 15:16:10,-26.7852,-60.4388,82.99,61,22,4.0
173,Linoan,PH,2021-04-17 15:16:10,7.626,125.9741,80.6,89,90,2.3
174,Haines Junction,CA,2021-04-17 15:16:11,60.7522,-137.5108,33.8,69,100,1.14
175,Xining,CN,2021-04-17 15:16:11,36.6167,101.7667,44.71,38,84,2.68
176,Hamilton,US,2021-04-17 15:15:32,39.1834,-84.5333,55.99,71,90,4.32
177,Yerofey Pavlovich,RU,2021-04-17 15:16:11,53.9667,121.9667,32.56,84,83,2.64
178,Tilichiki,RU,2021-04-17 15:16:12,60.4667,166.1,8.02,99,94,2.13
179,Ugoofaaru,MV,2021-04-17 15:16:12,5.6667,73.0,84.22,71,95,8.63
180,Yellowknife,CA,2021-04-17 15:14:27,62.456,-114.3525,24.01,86,40,4.61
181,Pevek,RU,2021-04-17 15:16:12,69.7008,170.3133,16.11,84,100,3.36
182,Kannur,IN,2021-04-17 15:16:13,11.8675,75.3576,81.55,85,84,3.42
183,Provideniya,RU,2021-04-17 15:16:13,64.3833,-173.3,30.27,97,100,7.29
184,Saint Andrews,US,2021-04-17 15:16:13,34.0454,-81.1293,66.2,52,75,4.61
185,Namibe,AO,2021-04-17 15:16:14,-15.1961,12.1522,84.97,59,0,12.57
186,Pocatello,US,2021-04-17 15:16:14,42.8713,-112.4455,37.99,64,1,4.61
187,Altay,CN,2021-04-17 15:16:14,47.8667,88.1167,51.4,47,100,6.13
188,Port Pirie,AU,2021-04-17 15:16:14,-33.1833,138.0167,53.6,82,0,6.46
189,Okhotsk,RU,2021-04-17 15:16:15,59.3833,143.3,20.3,96,99,8.61
190,Ihosy,MG,2021-04-17 15:16:15,-22.4,46.1167,63.18,53,0,5.64
191,Sao Joao Da Barra,BR,2021-04-17 15:16:15,-21.6403,-41.0511,80.6,65,75,9.22
192,Chokurdakh,RU,2021-04-17 15:16:16,70.6333,147.9167,6.66,94,83,9.44
193,Teknaf,BD,2021-04-17 15:16:16,20.8624,92.3058,79.07,80,1,1.7
194,Olafsvik,IS,2021-04-17 15:16:16,64.8945,-23.7142,39.06,78,100,19.08
195,Yushan,CN,2021-04-17 15:16:17,31.3776,120.9543,57.2,44,0,4.47
196,Kroya,ID,2021-04-17 15:16:17,-7.6331,109.2461,79.39,81,92,3.31
197,Ostersund,SE,2021-04-17 15:16:17,63.1792,14.6357,51.8,43,19,5.75
198,Samarai,PG,2021-04-17 15:16:17,-10.6167,150.6667,82.24,80,91,12.33
199,Terrace Bay,CA,2021-04-17 15:16:18,48.7834,-87.1,35.6,80,90,10.36
200,Fairview,US,2021-04-17 15:15:09,40.8126,-73.999,51.8,53,90,6.91
201,Bartlesville,US,2021-04-17 15:16:18,36.7473,-95.9808,48.2,81,90,4.61
202,Acajutla,SV,2021-04-17 15:11:51,13.5928,-89.8275,80.01,78,0,1.63
203,Lagoa,PT,2021-04-17 15:16:19,39.05,-27.9833,61.95,91,5,19.6
204,Tual,ID,2021-04-17 15:16:19,-5.6667,132.75,84.02,72,100,15.93
205,Ouango,CF,2021-04-17 15:16:19,4.3133,22.5552,91.63,41,97,8.14
206,Mizan Teferi,ET,2021-04-17 15:16:20,6.9833,35.5833,71.89,55,100,3.33
207,Nikki,BJ,2021-04-17 15:16:20,9.9401,3.2108,98.4,26,99,6.62
208,Katsuura,JP,2021-04-17 15:16:20,35.1333,140.3,64.99,94,75,16.11
209,Faanui,PF,2021-04-17 15:16:20,-16.4833,-151.75,81.23,76,98,7.56
210,San Jose,US,2021-04-17 15:11:21,37.3394,-121.895,53.01,76,90,6.91
211,Windsor,CA,2021-04-17 15:13:04,42.3001,-83.0165,52.0,62,90,6.91
212,Leh,IN,2021-04-17 15:16:21,34.1667,77.5833,39.61,61,100,3.42
213,Galle,LK,2021-04-17 15:16:21,6.0367,80.217,82.04,76,100,8.3
214,Caravelas,BR,2021-04-17 15:16:22,-17.7125,-39.2481,79.43,75,51,5.59
215,Kindersley,CA,2021-04-17 15:15:09,51.4668,-109.1682,50.0,34,40,10.36
216,Flagstaff,US,2021-04-17 15:16:22,35.1981,-111.6513,42.01,52,1,10.36
217,Butaritari,KI,2021-04-17 15:16:22,3.0707,172.7902,81.77,77,71,5.5
218,Asyut,EG,2021-04-17 15:12:16,27.181,31.1837,98.6,15,0,6.91
219,Chitipa,MW,2021-04-17 15:16:23,-9.7024,33.2697,65.66,91,70,5.66
220,Sukhumi,GE,2021-04-17 15:16:23,43.0033,41.0153,55.26,90,100,3.24
221,Raudeberg,NO,2021-04-17 15:16:23,61.9875,5.1352,51.8,40,0,9.22
