City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
434,Copacabana,CO,62.6,scattered clouds,6.3463,-75.5089,Hospedaje Brazil
435,Viransehir,TR,64.96,broken clouds,37.2353,39.7631,Viranşehir Öğretmenevi
436,Tomatlan,MX,75.85,clear sky,19.9333,-105.25,Norma franco
438,Bykovo,RU,48.0,clear sky,55.6361,38.0803,Around the world
441,Palmer,US,57.2,overcast clouds,42.1584,-72.3287,Wedgewood Motel
442,General Roca,AR,68.0,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
443,Ambon,ID,77.0,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
445,Bundaberg,AU,75.2,clear sky,-24.85,152.35,Takalvan Motel
448,Caravelas,BR,73.72,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
450,La Plata,AR,66.0,scattered clouds,-34.9215,-57.9545,Hotel Corregidor
452,Mangrol,IN,78.42,clear sky,21.1167,70.1167,Hotel The Royal Honours
453,Salalah,OM,78.8,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
455,Monroe,US,53.6,broken clouds,43.1501,-77.6831,Staybridge Suites Rochester University
456,Orta Nova,IT,46.4,broken clouds,41.3299,15.7107,Hotel Novelli
458,Llata,PE,50.68,overcast clouds,-9.4167,-76.7833,Hospedaje Familia Collazos Espinoza
460,Saravan,AM,53.6,scattered clouds,39.7196,45.6483,
462,Hualmay,PE,67.86,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
463,Marsa Matruh,EG,69.8,scattered clouds,31.3525,27.2453,Beau Site
464,Port Lincoln,AU,63.59,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
466,Darnah,LY,62.51,overcast clouds,32.767,22.6367,فندق الفردوس
467,Ballina,AU,69.8,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
469,Te Anau,NZ,55.8,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
471,Binga,ZW,63.82,few clouds,-17.6203,27.3414,Lakeview Inn Binga
473,Anzio,IT,45.0,scattered clouds,41.4853,12.6179,Beauty Hotel & SPA
474,Whyalla,AU,64.4,clear sky,-33.0333,137.5833,Foreshore Motor Inn
475,Beloha,MG,63.7,clear sky,-25.1667,45.05,
476,Qingquan,CN,60.89,overcast clouds,30.4511,115.2559,Caiyuan Hotel
479,Grantham,GB,41.0,clear sky,52.9115,-0.6418,Premier Inn Grantham hotel
480,Serpa,PT,57.2,clear sky,37.9458,-7.5975,Casa do Caniço
481,Cabedelo,BR,73.4,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
482,Camana,PE,69.1,clear sky,-16.6228,-72.7111,Hostal Morales
483,Sabha,LY,70.99,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
484,Martinsville,US,55.99,overcast clouds,36.6915,-79.8725,Hampton Inn Martinsville
485,Lethem,GY,78.48,broken clouds,3.3803,-59.7968,Savannah Inn
487,Zhongshu,CN,61.29,broken clouds,24.5167,103.7667,Xintianlong Hotel
489,Kaili,ID,75.34,broken clouds,-3.4626,120.2147,
490,Gunjur,GM,72.1,broken clouds,13.2019,-16.7339,Kuba Lodge
492,Cockburn Town,TC,78.8,few clouds,21.4612,-71.1419,Osprey Beach Hotel
494,Oume,JP,60.8,clear sky,35.7839,139.2431,Kampo Inn Ome
495,Aleksandrov Gay,RU,53.42,overcast clouds,50.147,48.5704,Gostinitsa I.p. Yes'kov A.v
499,Labuhan,ID,79.88,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
500,Ngunguru,NZ,70.0,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
502,Deniliquin,AU,63.0,overcast clouds,-35.5333,144.9667,Riviana Motel
503,Avera,US,68.0,clear sky,33.194,-82.5271,
